
=== Target Sell Zone (2021-05-10 to 2022-04-12) ===
Date         | Close    | RSI    | EMA200   | Ext%   | Stoch Bear
2022-01-22   | 2644.43  | 24.78  | 3457.55  | -23.52 |           
2022-01-23   | 2742.13  | 29.71  | 3450.43  | -20.53 |           
2022-01-24   | 2667.49  | 28.19  | 3442.64  | -22.52 |           
2022-01-25   | 2680.17  | 28.86  | 3435.05  | -21.98 |           
2022-01-26   | 2683.40  | 29.04  | 3427.57  | -21.71 |           
2022-01-27   | 2425.83  | 23.84  | 3417.60  | -29.02 |           
2022-01-28   | 2547.28  | 30.19  | 3408.94  | -25.28 |           
2022-01-29   | 2603.03  | 32.95  | 3400.93  | -23.46 |           
2022-01-30   | 2603.28  | 32.96  | 3392.99  | -23.27 |           
2022-01-31   | 2689.01  | 37.38  | 3385.98  | -20.58 |           
2022-02-01   | 2790.26  | 42.22  | 3380.06  | -17.45 |           
2022-02-02   | 2682.60  | 38.79  | 3373.12  | -20.47 |           
2022-02-03   | 2697.83  | 39.53  | 3366.40  | -19.86 |           
2022-02-04   | 2997.45  | 51.98  | 3362.73  | -10.86 |           
2022-02-05   | 3015.63  | 52.62  | 3359.27  | -10.23 |           
2022-02-06   | 3057.85  | 54.14  | 3356.27  | -8.89  |           
2022-02-07   | 3141.94  | 57.10  | 3354.14  | -6.33  |           
2022-02-08   | 3119.72  | 56.07  | 3351.81  | -6.92  |           
2022-02-09   | 3246.67  | 60.46  | 3350.76  | -3.11  |           
2022-02-10   | 3074.51  | 52.77  | 3348.01  | -8.17  |           
2022-02-11   | 2928.76  | 47.28  | 3343.84  | -12.41 | YES       
2022-02-12   | 2917.85  | 46.89  | 3339.60  | -12.63 |           
2022-02-13   | 2872.11  | 45.19  | 3334.95  | -13.88 |           
2022-02-14   | 2932.68  | 47.88  | 3330.95  | -11.96 |           
2022-02-15   | 3186.27  | 57.32  | 3329.51  | -4.30  |           
2022-02-16   | 3123.74  | 54.69  | 3327.46  | -6.12  |           
2022-02-17   | 2896.10  | 46.35  | 3323.17  | -12.85 |           
2022-02-18   | 2781.10  | 42.80  | 3317.78  | -16.18 |           
2022-02-19   | 2764.40  | 42.30  | 3312.27  | -16.54 |           
2022-02-20   | 2622.27  | 38.16  | 3305.40  | -20.67 |           
2022-02-21   | 2569.50  | 36.72  | 3298.08  | -22.09 |           
2022-02-22   | 2638.45  | 39.90  | 3291.52  | -19.84 |           
2022-02-23   | 2580.57  | 38.17  | 3284.44  | -21.43 |           
2022-02-24   | 2598.31  | 39.04  | 3277.62  | -20.73 |           
2022-02-25   | 2768.49  | 46.82  | 3272.55  | -15.40 |           
2022-02-26   | 2779.72  | 47.30  | 3267.65  | -14.93 |           
2022-02-27   | 2616.66  | 41.47  | 3261.17  | -19.76 |           
2022-02-28   | 2923.94  | 53.18  | 3257.81  | -10.25 |           
2022-03-01   | 2976.98  | 54.86  | 3255.02  | -8.54  |           
2022-03-02   | 2949.43  | 53.78  | 3251.98  | -9.30  |           
2022-03-03   | 2834.43  | 49.41  | 3247.82  | -12.73 |           
